project_id,mp_name,house,state,constituency,elected_or_nominated,district,area,project_type,recommendation_start_date,expected_sanction_date,snapshot_date,duration_days,sanctioned_amount_inr,released_amount_inr,expenditure_amount_inr,payment_count,physical_progress_pct,expected_progress_pct,delay_days,cost_deviation_pct,completion_status,description,duplicate_group_id,mp_allocated_amount_inr,state_2016_17_sanctioned_crore,state_2016_17_works,state_2018_19_sanctioned_crore,state_2018_19_works,state_2019_20_sanctioned_crore,state_2019_20_works,state_2019_20_expenditure_crore,state_2019_20_completed_works,fund_utilization_pct,unspent_amount_inr,unspent_ratio,progress_gap_pct,peer_cost_zscore,peer_progress_zscore,completion_efficiency_score,mp_completion_efficiency_avg,state_completion_efficiency_avg,payment_velocity_per_30d,early_payment_share,sanction_to_release_days,recommendation_to_sanction_days,vendor_id,latitude,longitude,geo_source,is_anomaly,anomaly_type
MPLADS-00011,ANITASUBHADARSHINI,Lok Sabha,Odisha,ASKA,Elected MP,District-62,Gram Panchayat-11,Health Centre,2019-10-18,2020-01-31,2024-03-31,703,310605.71,232774.73,162682.81,3,98.58,91.22,819,-47.62,Completed,"Primary health centre and medical facility at Gram Panchayat-11, District-62, Odisha",,123000000,172.51,7669,143.98,4897,164.76,7917,63.86,3138,52.38,147922.9,0.4762,-7.36,-0.7218,1.3854,98.58,64.66,65.15,0.128,0.4164,56,105,VEND-SYN-0356,33.916328,97.093595,synthetic_placeholder,0,none
MPLADS-00012,DR.K.SUDHAKAR,Lok Sabha,Karnataka,CHIKBALLAPUR,Elected MP,District-09,Town-34,Community Hall,2023-01-04,2023-04-17,2024-03-31,258,754824.01,688410.53,539754.99,7,72.15,87.09,46,-28.49,In Progress,"Community hall and public building at Town-34, District-09, Karnataka",,89248285,180.29,3322,207.73,4002,219.29,3307,107.57,1719,71.51,215069.02,0.2849,14.94,0.3025,0.4645,72.15,68.8,65.61,0.814,0.2727,104,103,VEND-SYN-0007,29.472495,95.193544,synthetic_placeholder,0,none
MPLADS-00013,HARENDRA SINGHMALIK,Lok Sabha,Uttar Pradesh,MUZAFFARNAGAR,Elected MP,District-61,Ward-6,Sanitation,2019-04-15,2019-06-20,2024-03-31,316,439353.61,360472.13,313301.41,5,29.88,54.79,1447,-28.69,In Progress,"Community sanitation and drainage at Ward-6, District-61, Uttar Pradesh",,266000000,503.59,13244,483.89,17216,920.88,21703,236.7,8304,71.31,126052.2,0.2869,24.91,0.1789,-1.5647,29.88,67.47,64.94,0.4747,0.5558,48,66,VEND-SYN-0378,21.272922,89.428361,synthetic_placeholder,0,none
MPLADS-00014,ADITYAYADAV,Lok Sabha,Uttar Pradesh,BADAUN,Elected MP,District-69,Gram Panchayat-35,Health Centre,2021-09-07,2021-10-16,2024-03-31,653,609762.05,465650.52,338124.07,2,68.32,79.84,233,-44.55,In Progress,"Primary health centre and medical facility at Gram Panchayat-35, District-69, Uttar Pradesh",,73500000,503.59,13244,483.89,17216,920.88,21703,236.7,8304,55.45,271637.98,0.4455,11.52,-0.5866,0.1475,68.32,66.21,64.94,0.0919,0.1865,47,39,VEND-SYN-0797,26.260189,87.160567,synthetic_placeholder,0,none
MPLADS-00015,Annpurna Devi,Lok Sabha,Jharkhand,KODARMA,Elected MP,District-04,Town-29,Sanitation,2022-03-27,2022-05-02,2024-03-31,119,352256.95,316690.47,184581.4,2,82.4,97.42,598,-47.6,In Progress,"Community sanitation and drainage at Town-29, District-04, Jharkhand",,123000000,102.89,2777,84.66,2262,108.61,2766,49.14,1179,52.4,167675.55,0.476,15.02,-0.9313,0.6614,82.4,67.67,65.38,0.5042,0.7899,19,36,VEND-SYN-0176,19.746668,84.2568,synthetic_placeholder,1,rule_flagged_other
MPLADS-00016,ALOK SHARMA,Lok Sabha,Madhya Pradesh,BHOPAL,Elected MP,District-72,Ward-17,Street Lighting,2019-08-25,2019-09-15,2024-03-31,412,648915.77,593074.02,84159.6,2,33.49,68.06,1228,-87.03,In Progress,"Street lighting and electrification at Ward-17, District-72, Madhya Pradesh",,49000000,204.36,6032,215.52,6353,239.56,7587,120.02,4586,12.97,564756.17,0.8703,34.57,-2.9888,-1.4677,33.49,66.3,64.56,0.1456,0.3052,38,21,VEND-SYN-0428,10.5441,86.768829,synthetic_placeholder,1,fund_unutilized
MPLADS-00017,Jagdambika Pal,Lok Sabha,Uttar Pradesh,DOMARIYAGAN),Elected MP,District-64,Block-35,Community Hall,2023-06-26,2023-09-23,2024-03-31,484,432542.51,356197.97,316466.05,5,67.8,75.04,0,-26.84,In Progress,"Community hall and public building at Block-35, District-64, Uttar Pradesh",,196000000,503.59,13244,483.89,17216,920.88,21703,236.7,8304,73.16,116076.46,0.2684,7.24,0.4287,0.1179,67.8,66.57,64.94,0.3099,0.2322,42,89,VEND-SYN-0809,13.139772,78.607294,synthetic_placeholder,0,none
MPLADS-00018,GMHarish Balayogi,Lok Sabha,Andhra Pradesh,AMALAPURAM(SC),Elected MP,District-70,Village-17,School Infrastructure,2019-06-14,2019-09-13,2024-03-31,224,437573.59,365698.64,271754.0,10,100,79.2,1469,-37.9,Completed,"Construction or repair of school infrastructure at Village-17, District-70, Andhra Pradesh",,186000000,172.8,5206,184.04,4780,202.26,3888,116.04,3542,62.1,165819.59,0.379,-20.8,-0.3964,1.6066,100,67.0,66.5,1.3393,0.1985,16,91,VEND-SYN-0809,12.506906,85.913403,synthetic_placeholder,1,payment_anomaly
MPLADS-00019,DAGGUMALLA PRASADA RA,Lok Sabha,Andhra Pradesh,CHITTOOR,Elected MP,District-56,Ward-33,Community Hall,2022-09-11,2023-01-19,2024-03-31,630,560400.58,459704.07,271212.77,5,63.95,53.3,0,-51.6,In Progress,"Community hall and public building at Ward-33, District-56, Andhra Pradesh",,196000000,172.8,5206,184.04,4780,202.26,3888,116.04,3542,48.4,289187.81,0.516,-10.65,-1.1907,-0.1291,63.95,67.59,66.5,0.2381,0.1899,56,130,VEND-SYN-0223,20.650426,73.043312,synthetic_placeholder,0,none
MPLADS-00020,ARUNA. D. K,Lok Sabha,Telangana,MAHABUBNAGAR,Elected MP,District-05,Gram Panchayat-39,Road Construction,2019-02-12,2019-05-25,2024-03-31,259,395289.24,366749.32,278104.06,4,59.01,73.69,1489,-29.65,In Progress,"Road construction and repair at Gram Panchayat-39, District-05, Telangana",,73500000,102.38,3455,124.28,3839,104.59,3331,68.12,2195,70.35,117185.18,0.2965,14.68,0.161,-0.1856,59.01,63.81,64.53,0.4633,0.3498,110,102,VEND-SYN-0887,11.847879,80.3347,synthetic_placeholder,0,none
MPLADS-00021,AVIMANYU SETHI,Lok Sabha,Odisha,BHADRAK(SC),Elected MP,District-29,Town-29,Road Construction,2018-09-15,2018-12-20,2024-03-31,716,109723.47,90808.39,65766.81,7,67.26,56.03,1240,-40.06,In Progress,"Road construction and repair at Town-29, District-29, Odisha",,147000000,172.51,7669,143.98,4897,164.76,7917,63.86,3138,59.94,43956.66,0.4006,-11.23,-0.2579,0.112,67.26,63.49,65.15,0.2933,0.4043,116,96,VEND-SYN-0587,11.232152,94.296546,synthetic_placeholder,0,none
MPLADS-00022,GODAM NAGESH,Lok Sabha,Telangana,ADILABAD(ST),Elected MP,District-29,Block-31,School Infrastructure,2022-02-24,2022-06-27,2024-03-31,264,264049.63,212208.9,126675.31,1,60.76,45.51,356,-52.03,In Progress,"Construction or repair of school infrastructure at Block-31, District-29, Telangana",,277000000,102.38,3455,124.28,3839,104.59,3331,68.12,2195,47.97,137374.32,0.5203,-15.25,-0.7504,-0.1975,60.76,64.52,64.53,0.1136,0.5321,96,123,VEND-SYN-0884,14.246725,77.721004,synthetic_placeholder,0,none
MPLADS-00023,ANITA NAGARSINGH CHOUI,Lok Sabha,Madhya Pradesh,RATLAM(ST),Elected MP,District-15,Village-34,Park Development,2020-09-23,2020-10-31,2024-03-31,628,316244.69,270591.94,179083.08,1,100,96.63,632,-43.37,Completed,"Park, playground and open space at Village-34, District-15, Madhya Pradesh",,147000000,204.36,6032,215.52,6353,239.56,7587,120.02,4586,56.63,137161.61,0.4337,-3.37,-0.5073,1.3645,100,64.31,64.56,0.0478,0.4407,120,38,VEND-SYN-0668,30.317486,71.719767,synthetic_placeholder,0,none
MPLADS-00024,DHARMENDRAYADAV,Lok Sabha,Uttar Pradesh,AZAMGARH,Elected MP,District-38,Village-30,Community Hall,2023-07-25,2023-10-16,2024-03-31,186,477686.88,454977.02,322325.45,7,57.19,63.72,0,-32.52,In Progress,"Community hall and public building at Village-30, District-38, Uttar Pradesh",,186000000,503.59,13244,483.89,17216,920.88,21703,236.7,8304,67.48,155361.43,0.3252,6.53,0.0992,-0.3219,57.19,64.8,64.94,1.129,0.3285,14,83,VEND-SYN-0863,19.188135,86.59407,synthetic_placeholder,0,none
MPLADS-00025,JaiPrakash,Lok Sabha,Uttar Pradesh,HARDOI (SC),Elected MP,District-45,Town-3,Health Centre,2022-06-03,2022-10-08,2024-03-31,362,305463.4,284893.44,151492.87,4,100,94.68,142,-50.41,Completed,"Primary health centre and medical facility at Town-3, District-45, Uttar Pradesh",,98000000,503.59,13244,483.89,17216,920.88,21703,236.7,8304,49.59,153970.53,0.5041,-5.32,-0.9307,1.4952,100,63.42,64.94,0.3315,0.195,43,127,VEND-SYN-0675,33.358064,74.383752,synthetic_placeholder,0,none
MPLADS-00026,Dr Jayanta Kumar Roy,Lok Sabha,West Bengal,JALPAIGURI(SC),Elected MP,District-25,Town-19,Drinking Water,2023-08-13,2023-11-30,2024-03-31,653,621461.83,504991.45,318260.65,4,73.6,96.51,0,-48.79,In Progress,"Drinking water supply and handpump at Town-19, District-25, West Bengal",,245000000,304.34,4704,338.39,4752,347.82,5151,123.1,2613,51.21,303201.18,0.4879,22.91,-1.0031,0.2443,73.6,64.14,65.23,0.1838,0.2717,78,109,VEND-SYN-0418,14.905344,88.7698,synthetic_placeholder,0,none
MPLADS-00027,Dushyant Singh,Lok Sabha,Rajasthan,JHALAWAR-BARAN,Elected MP,District-15,Block-27,School Infrastructure,2023-06-06,2023-07-16,2024-03-31,175,1191620.03,1116904.69,590963.86,5,30.98,55.91,69,-50.41,In Progress,"Construction or repair of school infrastructure at Block-27, District-15, Rajasthan",,235000000,161.14,2060,177.23,2786,188.24,2997,100.53,1983,49.59,600656.17,0.5041,24.93,-1.0037,-1.4913,30.98,62.06,66.69,0.8571,0.5105,109,40,VEND-SYN-0833,23.235323,68.450126,synthetic_placeholder,0,none
MPLADS-00028,Devendra Alias Bhole Singh,Lok Sabha,Uttar Pradesh,AKBARPUR,Elected MP,District-65,Village-36,School Infrastructure,2022-12-15,2023-03-05,2024-03-31,711,455721.65,338630.89,234480.12,2,76.93,94.75,0,-48.55,In Progress,"Construction or repair of school infrastructure at Village-36, District-65, Uttar Pradesh",,245000000,503.59,13244,483.89,17216,920.88,21703,236.7,8304,51.45,221241.53,0.4855,17.82,-0.7583,0.4954,76.93,61.97,64.94,0.0844,0.0984,27,80,VEND-SYN-0637,33.504461,70.944464,synthetic_placeholder,0,none
MPLADS-00029,ANANTA NAYAK,Lok Sabha,Odisha,KEONJHAR(ST),Elected MP,District-17,Village-40,Drinking Water,2018-02-03,2018-03-03,2024-03-31,413,112799.68,99288.64,51764.39,1,73.49,89.68,1853,-54.11,In Progress,"Drinking water supply and handpump at Village-40, District-17, Odisha",,221000000,172.51,7669,143.98,4897,164.76,7917,63.86,3138,45.89,61035.29,0.5411,16.19,-1.2048,0.2596,73.49,66.84,65.15,0.0726,0.2826,93,28,VEND-SYN-0726,31.946571,76.767608,synthetic_placeholder,0,none
MPLADS-00030,DR. HEMANT VISHNU SAVAF,Lok Sabha,Maharashtra,PALGHAR(ST),Elected MP,District-19,Block-47,Health Centre,2018-04-09,2018-05-12,2024-03-31,310,1404611.47,1129652.71,1087572.76,1,71.34,88.14,1803,-22.57,In Progress,"Primary health centre and medical facility at Block-47, District-19, Maharashtra",,123000000,304.37,6075,302.47,5787,393.02,5962,247.67,5458,77.43,317038.71,0.2257,16.8,0.5662,0.2772,71.34,63.39,65.03,0.0968,0.4031,105,33,VEND-SYN-0302,19.095893,83.372269,synthetic_placeholder,0,none
MPLADS-00031,Bhola Singh,Lok Sabha,Uttar Pradesh,BULANDSHAHR(SC),Elected MP,District-44,Gram Panchayat-43,Health Centre,2023-10-08,2023-11-17,2024-03-31,333,581526.41,488293.51,327219.34,1,81.93,76.3,0,-43.73,In Progress,"Primary health centre and medical facility at Gram Panchayat-43, District-44, Uttar Pradesh",,235000000,503.59,13244,483.89,17216,920.88,21703,236.7,8304,56.27,254307.07,0.4373,-5.63,-0.5386,0.7265,81.93,65.75,64.94,0.0901,0.3224,102,40,VEND-SYN-0561,33.847995,74.259693,synthetic_placeholder,0,none
MPLADS-00032,AVIMANYU SETHI,Lok Sabha,Odisha,BHADRAK(SC),Elected MP,District-17,Village-46,School Infrastructure,2021-05-28,2021-08-24,2024-03-31,112,202304.1,158269.23,147612.91,5,85.03,84.79,760,-27.03,In Progress,"Construction or repair of school infrastructure at Village-46, District-17, Odisha",,170000000,172.51,7669,143.98,4897,164.76,7917,63.86,3138,72.97,54691.19,0.2703,-0.24,0.4232,0.8296,85.03,63.49,65.15,1.3393,0.4276,48,88,VEND-SYN-0584,29.116245,87.627867,synthetic_placeholder,0,none
MPLADS-00033,CHHATRA PAL SINGH GANC,Lok Sabha,Uttar Pradesh,BAREILLY,Elected MP,District-01,Block-28,Sanitation,2021-10-15,2021-12-27,2024-03-31,411,505233.12,405231.09,339014.02,5,81.89,81.51,364,-32.9,In Progress,"Community sanitation and drainage at Block-28, District-01, Uttar Pradesh",,73500000,503.59,13244,483.89,17216,920.88,21703,236.7,8304,67.1,166219.1,0.329,-0.38,-0.0343,0.6986,81.89,64.24,64.94,0.365,0.3228,30,73,VEND-SYN-0570,29.101732,89.445753,synthetic_placeholder,0,none
MPLADS-00034,JAIPARKASH,Lok Sabha,Haryana,HISAR,Elected MP,District-39,Ward-42,Drinking Water,2022-11-23,2023-01-05,2024-03-31,561,674097.71,552989.55,388341.27,1,62.56,50.33,0,-42.39,In Progress,"Drinking water supply and handpump at Ward-42, District-39, Haryana",,98000000,66.09,1295,90.2,1709,90.61,1833,46.18,1198,57.61,285756.44,0.4239,-12.23,-0.3627,0.0173,62.56,64.69,66.91,0.0535,0.2361,64,43,VEND-SYN-0501,29.069564,89.76461,synthetic_placeholder,0,none
MPLADS-00035,BHARATSINGHKUSHWAH,Lok Sabha,Madhya Pradesh,GWALIOR,Elected MP,District-02,Ward-38,Drinking Water,2023-12-09,2024-01-24,2024-03-31,150,324743.58,300037.22,293131.69,4,13.32,51.84,0,-9.73,In Progress,"Drinking water supply and handpump at Ward-38, District-02, Madhya Pradesh",,221000000,204.36,6032,215.52,6353,239.56,7587,120.02,4586,90.27,31611.89,0.0973,38.52,1.4169,-2.149,13.32,59.95,64.56,0.8,0.9148,114,46,VEND-SYN-0727,9.234367,71.540759,synthetic_placeholder,1,rule_flagged_other
MPLADS-00036,DHARMENDRA PRADHAN,Lok Sabha,Odisha,SAMBALPUR,Elected MP,District-17,Block-29,Park Development,2018-11-22,2019-03-04,2024-03-31,475,172412.96,126967.1,123776.03,7,88.11,66.21,1338,-28.21,In Progress,"Park, playground and open space at Block-29, District-17, Odisha",,123000000,172.51,7669,143.98,4897,164.76,7917,63.86,3138,71.79,48636.93,0.2821,-21.9,0.2932,0.9674,88.11,67.31,65.15,0.4421,0.2454,26,102,VEND-SYN-0423,29.279969,73.73401,synthetic_placeholder,0,none
MPLADS-00037,Alok Kumar Suman,Lok Sabha,Bihar,GOPALGANJ (SC),Elected MP,District-58,Town-25,Bridge/Culvert,2018-06-05,2018-06-24,2024-03-31,147,804771.43,666279.16,608797.69,4,58.44,69.52,1944,-24.35,In Progress,"Bridge, culvert and connectivity work at Town-25, District-58, Bihar",,98000000,345.2,5391,422.23,7670,411.45,5142,172.24,3955,75.65,195973.74,0.2435,11.08,0.5168,-0.2807,58.44,63.19,64.34,0.8163,0.3857,68,19,VEND-SYN-0115,13.421616,71.972748,synthetic_placeholder,0,none
MPLADS-00038,ANAND KUMAR,Lok Sabha,Uttar Pradesh,BAHRAICH(SC),Elected MP,District-70,Block-30,Sanitation,2021-02-02,2021-05-21,2024-03-31,277,448526.45,424571.5,324195.85,4,78.64,67.12,711,-27.72,In Progress,"Community sanitation and drainage at Block-30, District-70, Uttar Pradesh",,123000000,503.59,13244,483.89,17216,920.88,21703,236.7,8304,72.28,124330.6,0.2772,-11.52,0.2281,0.5571,78.64,62.16,64.94,0.4332,0.5404,111,108,VEND-SYN-0495,26.829708,73.28521,synthetic_placeholder,0,none
MPLADS-00039,Jagdambika Pal,Lok Sabha,Uttar Pradesh,DOMARIYAGAN),Elected MP,District-39,Gram Panchayat-25,Street Lighting,2019-12-01,2019-12-26,2024-03-31,369,254700.78,251797.16,177557.14,2,63.47,84.71,1186,-30.29,In Progress,"Street lighting and electrification at Gram Panchayat-25, District-39, Uttar Pradesh; community asset work",DUP-00038,49000000,503.59,13244,483.89,17216,920.88,21703,236.7,8304,69.71,77143.64,0.3029,21.24,0.2977,-0.0721,63.47,66.57,64.94,0.1626,0.2682,67,25,VEND-SYN-0151,8.644971,88.618566,synthetic_placeholder,1,duplicate_work
MPLADS-00040,HARIBHAI PATEL,Lok Sabha,Gujarat,MAHESANA,Elected MP,District-55,Block-16,Community Hall,2023-12-09,2024-02-04,2024-03-31,135,361256.5,311030.12,187946.95,3,45.48,76.93,0,-47.97,In Progress,"Community hall and public building at Block-16, District-55, Gujarat",,221000000,196.07,8205,169.87,6281,282.79,11351,135.47,4844,52.03,173309.55,0.4797,31.45,-0.8652,-0.8591,45.48,63.05,64.81,0.6667,0.8341,76,57,VEND-SYN-0761,15.732542,94.250475,synthetic_placeholder,1,rule_flagged_other
MPLADS-00041,AMRINDER SINGH RAJA WAI,Lok Sabha,Punjab,LUDHIANA,Elected MP,District-53,Gram Panchayat-2,Park Development,2021-02-15,2021-04-20,2024-03-31,326,315891.55,259535.34,222467.42,1,100,96.92,760,-29.57,Completed,"Park, playground and open space at Gram Panchayat-2, District-53, Punjab",,277000000,111.48,3575,88.12,5838,109.32,4158,33.67,1722,70.43,93424.13,0.2957,-3.08,0.2683,1.4298,100,66.45,64.66,0.092,0.2398,11,64,VEND-SYN-0071,16.797922,72.485507,synthetic_placeholder,0,none
MPLADS-00042,BIBHU PRASAD TARAI,Lok Sabha,Odisha,JAGATSINGHPUR(SC),Elected MP,District-50,Block-45,Park Development,2021-08-24,2021-09-25,2024-03-31,124,262749.65,226189.01,202201.83,4,100,90.04,802,-23.04,Completed,"Park, playground and open space at Block-45, District-50, Odisha",,221000000,172.51,7669,143.98,4897,164.76,7917,63.86,3138,76.96,60547.82,0.2304,-9.96,0.6225,1.5064,100,65.85,65.15,0.9677,0.399,116,32,VEND-SYN-0659,22.594626,68.038568,synthetic_placeholder,0,none
MPLADS-00043,CHINTAMANIMAHARAJ,Lok Sabha,Chhattisgarh,SARGUJA(ST),Elected MP,District-60,Town-17,Street Lighting,2021-06-04,2021-10-11,2024-03-31,375,222529.58,164599.15,130409.76,1,100,94.75,492,-41.4,Completed,"Street lighting and electrification at Town-17, District-60, Chhattisgarh",,235000000,107.05,3099,109.83,2091,101.23,2123,39.31,1168,58.6,92119.82,0.414,-5.25,-0.3086,1.505,100,65.21,64.16,0.08,0.5643,19,129,VEND-SYN-0372,27.754884,89.883102,synthetic_placeholder,0,none
MPLADS-00044,AjayBhatt,Lok Sabha,Uttarakhand,NAINITALUDHAMSINGHNAG.,Elected MP,District-27,Ward-26,Community Hall,2019-04-15,2019-07-19,2024-03-31,259,416522.75,412397.45,260044.64,2,70.33,65.0,1461,-37.57,In Progress,"Community hall and public building at Ward-26, District-27, Uttarakhand",,266000000,39.21,1741,35.88,1381,37.26,1151,31.08,1460,62.43,156478.11,0.3757,-5.33,-0.2041,0.1466,70.33,66.67,65.03,0.2317,0.3103,64,95,VEND-SYN-0014,24.07287,91.456184,synthetic_placeholder,0,none
MPLADS-00045,DR.HEMANG JOSHI,Lok Sabha,Gujarat,VADODARA,Elected MP,District-30,Town-4,Drinking Water,2018-03-18,2018-05-18,2024-03-31,489,237592.28,205508.87,132909.41,7,100,68.25,1615,-44.06,Completed,"Drinking water supply and handpump at Town-4, District-30, Gujarat",,245000000,196.07,8205,169.87,6281,282.79,11351,135.47,4844,55.94,104682.87,0.4406,-31.75,-0.606,1.4563,100,67.09,64.81,0.4294,0.4344,27,61,VEND-SYN-0124,19.873922,93.827026,synthetic_placeholder,0,none
MPLADS-00046,AFZALANSARI,Lok Sabha,Uttar Pradesh,GHAZIPUR,Elected MP,District-43,Village-9,Street Lighting,2018-08-10,2018-12-05,2024-03-31,599,411223.71,360418.84,294896.42,7,59.9,69.35,1362,-28.29,In Progress,"Street lighting and electrification at Village-9, District-43, Uttar Pradesh",,186000000,503.59,13244,483.89,17216,920.88,21703,236.7,8304,71.71,116327.29,0.2829,9.45,0.4184,-0.2242,59.9,66.18,64.94,0.3506,0.4055,43,117,VEND-SYN-0907,11.3962,79.962417,synthetic_placeholder,0,none
